trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
29,False,"{'a': 0.05, 'e': 0.24659696394160643}",20,8,22.385021914533382,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.05, 'e': 0.23457028809379762}",25,6,13.203292386107567,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.05, 'e': 0.22313016014842982}",25,13,-1.2817029649543072,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.05, 'e': 0.21224797382674304}",30,16,21.323977608793573,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.05, 'e': 0.20189651799465538}",25,1,-34.861177272518745,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 1}",1
34,False,"{'a': 0.05, 'e': 0.19204990862075408}",25,6,15.327793289162042,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.05, 'e': 0.1826835240527346}",20,9,19.19525614636136,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.05, 'e': 0.17377394345044514}",30,9,-8.410219682988346,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
37,False,"{'a': 0.05, 'e': 0.16529888822158653}",25,2,10.866249163519736,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.05, 'e': 0.1572371663136276}",20,0,-4.128574200505035,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
39,False,"{'a': 0.05, 'e': 0.14956861922263504}",25,0,32.23799352324454,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
